x,y,vx,vy,paddle.y
370,415,5,-5,200
365,420,5,-5,200
360,425,5,-5,200
355,430,5,-5,200
350,435,5,-5,200
345,440,5,-5,200
340,445,5,-5,200
335,450,5,-5,200
330,455,5,-5,200
325,460,5,-5,200
320,465,5,-5,200
315,460,5,5,200
310,455,5,5,200
305,450,5,5,200
300,445,5,5,200
295,440,5,5,200
290,435,5,5,200
285,430,5,5,200
280,425,5,5,200
275,420,5,5,200
270,415,5,5,200
265,410,5,5,200
260,405,5,5,200
255,400,5,5,200
250,395,5,5,200
245,390,5,5,200
240,385,5,5,200
235,380,5,5,200
230,375,5,5,200
225,370,5,5,200
220,365,5,5,200
215,360,5,5,200
210,355,5,5,200
205,350,5,5,200
200,345,5,5,200
195,340,5,5,200
190,335,5,5,200
185,330,5,5,200
180,325,5,5,200
175,320,5,5,200
170,315,5,5,200
165,310,5,5,200
160,305,5,5,200
155,300,5,5,200
150,295,5,5,200
145,290,5,5,200
140,285,5,5,200
135,280,5,5,200
130,275,5,5,200
125,270,5,5,200
120,265,5,5,200
115,260,5,5,200
110,255,5,5,200
105,250,5,5,200
100,245,5,5,200
95,240,5,5,200
90,235,5,5,200
85,230,5,5,200
80,225,5,5,200
75,220,5,5,200
70,215,5,5,200
65,210,5,5,200
60,205,5,5,200
55,200,5,5,200
50,195,5,5,200
45,190,5,5,200
40,185,5,5,200
35,180,5,5,200
30,175,5,5,200
25,170,5,5,195
20,165,5,5,190
15,160,5,5,185
960,245,5,5,200
955,240,5,5,200
950,235,5,5,200
945,230,5,5,200
940,225,5,5,200
935,220,5,5,200
930,215,5,5,200
925,210,5,5,200
920,205,5,5,200
915,200,5,5,200
910,195,5,5,200
905,190,5,5,200
900,185,5,5,200
895,180,5,5,200
890,175,5,5,200
885,170,5,5,200
880,165,5,5,200
875,160,5,5,200
870,155,5,5,200
865,150,5,5,200
860,145,5,5,200
855,140,5,5,200
850,135,5,5,200
845,130,5,5,200
840,125,5,5,200
835,120,5,5,200
830,115,5,5,200
825,110,5,5,200
820,105,5,5,200
815,100,5,5,200
810,95,5,5,200
805,90,5,5,200
800,85,5,5,200
795,80,5,5,200
790,75,5,5,200
785,70,5,5,200
780,65,5,5,200
775,60,5,5,200
770,55,5,5,200
765,50,5,5,200
760,45,5,5,200
755,40,5,5,200
750,35,5,5,200
745,40,5,-5,200
740,45,5,-5,200
735,50,5,-5,200
730,55,5,-5,200
725,60,5,-5,200
720,65,5,-5,200
715,70,5,-5,200
710,75,5,-5,200
705,80,5,-5,200
700,85,5,-5,195
695,90,5,-5,190
690,95,5,-5,185
685,100,5,-5,180
680,105,5,-5,175
675,110,5,-5,170
670,115,5,-5,165
665,120,5,-5,160
660,125,5,-5,155
655,130,5,-5,155
650,135,5,-5,155
645,140,5,-5,155
640,145,5,-5,155
635,150,5,-5,155
630,155,5,-5,155
625,160,5,-5,155
620,165,5,-5,155
615,170,5,-5,155
610,175,5,-5,155
605,180,5,-5,155
600,185,5,-5,150
595,190,5,-5,145
590,195,5,-5,140
585,200,5,-5,135
580,205,5,-5,130
575,210,5,-5,130
570,215,5,-5,130
565,220,5,-5,130
560,225,5,-5,130
555,230,5,-5,130
550,235,5,-5,130
545,240,5,-5,130
540,245,5,-5,130
535,250,5,-5,130
530,255,5,-5,130
525,260,5,-5,130
520,265,5,-5,130
515,270,5,-5,130
510,275,5,-5,130
505,280,5,-5,130
500,285,5,-5,130
495,290,5,-5,130
490,295,5,-5,130
485,300,5,-5,130
480,305,5,-5,130
475,310,5,-5,130
470,315,5,-5,130
465,320,5,-5,125
460,325,5,-5,120
455,330,5,-5,115
450,335,5,-5,110
445,340,5,-5,105
440,345,5,-5,100
435,350,5,-5,95
430,355,5,-5,95
425,360,5,-5,95
420,365,5,-5,95
415,370,5,-5,95
410,375,5,-5,95
405,380,5,-5,95
400,385,5,-5,95
395,390,5,-5,95
390,395,5,-5,95
385,400,5,-5,95
380,405,5,-5,95
375,410,5,-5,95
370,415,5,-5,95
365,420,5,-5,95
360,425,5,-5,95
355,430,5,-5,95
350,435,5,-5,95
345,440,5,-5,95
340,445,5,-5,95
335,450,5,-5,95
330,455,5,-5,95
325,460,5,-5,95
320,465,5,-5,95
315,460,5,5,95
310,455,5,5,95
305,450,5,5,95
300,445,5,5,95
295,440,5,5,95
290,435,5,5,95
285,430,5,5,95
280,425,5,5,95
275,420,5,5,95
270,415,5,5,95
265,410,5,5,95
260,405,5,5,95
255,400,5,5,95
250,395,5,5,95
245,390,5,5,95
240,385,5,5,95
235,380,5,5,95
230,375,5,5,95
225,370,5,5,95
220,365,5,5,95
215,360,5,5,95
210,355,5,5,95
205,350,5,5,95
200,345,5,5,95
195,340,5,5,95
190,335,5,5,95
185,330,5,5,95
180,325,5,5,95
175,320,5,5,95
170,315,5,5,95
165,310,5,5,95
160,305,5,5,95
155,300,5,5,95
150,295,5,5,95
145,290,5,5,95
140,285,5,5,95
135,280,5,5,95
130,275,5,5,95
125,270,5,5,95
120,265,5,5,95
115,260,5,5,95
110,255,5,5,95
105,250,5,5,95
100,245,5,5,95
95,240,5,5,95
90,235,5,5,95
85,230,5,5,95
80,225,5,5,95
75,220,5,5,95
70,215,5,5,95
65,210,5,5,95
60,205,5,5,95
55,200,5,5,95
50,195,5,5,95
45,190,5,5,95
40,185,5,5,95
40,175,-5,5,95
45,170,-5,5,95
50,165,-5,5,95
55,160,-5,5,95
60,155,-5,5,95
65,150,-5,5,95
70,145,-5,5,95
75,140,-5,5,95
80,135,-5,5,95
85,130,-5,5,95
90,125,-5,5,95
95,120,-5,5,95
100,115,-5,5,95
105,110,-5,5,95
110,105,-5,5,95
115,100,-5,5,95
120,95,-5,5,95
125,90,-5,5,95
130,85,-5,5,95
135,80,-5,5,95
140,75,-5,5,95
145,70,-5,5,95
150,65,-5,5,95
155,60,-5,5,95
160,55,-5,5,95
165,50,-5,5,95
170,45,-5,5,95
175,40,-5,5,95
180,35,-5,5,95
185,40,-5,-5,95
190,45,-5,-5,95
195,50,-5,-5,95
200,55,-5,-5,95
205,60,-5,-5,95
210,65,-5,-5,95
215,70,-5,-5,95
220,75,-5,-5,95
225,80,-5,-5,95
230,85,-5,-5,95
235,90,-5,-5,95
240,95,-5,-5,95
245,100,-5,-5,95
250,105,-5,-5,95
255,110,-5,-5,95
260,115,-5,-5,95
265,120,-5,-5,95
270,125,-5,-5,95
275,130,-5,-5,95
280,135,-5,-5,95
285,140,-5,-5,95
290,145,-5,-5,95
295,150,-5,-5,95
300,155,-5,-5,95
305,160,-5,-5,95
310,165,-5,-5,95
315,170,-5,-5,95
320,175,-5,-5,95
325,180,-5,-5,95
330,185,-5,-5,95
335,190,-5,-5,95
340,195,-5,-5,95
345,200,-5,-5,95
350,205,-5,-5,95
355,210,-5,-5,95
360,215,-5,-5,95
365,220,-5,-5,95
370,225,-5,-5,95
375,230,-5,-5,95
380,235,-5,-5,95
385,240,-5,-5,95
390,245,-5,-5,95
395,250,-5,-5,95
400,255,-5,-5,95
405,260,-5,-5,95
410,265,-5,-5,95
415,270,-5,-5,95
420,275,-5,-5,95
425,280,-5,-5,95
430,285,-5,-5,95
435,290,-5,-5,95
440,295,-5,-5,95
445,300,-5,-5,95
450,305,-5,-5,95
455,310,-5,-5,95
460,315,-5,-5,95
465,320,-5,-5,95
470,325,-5,-5,95
475,330,-5,-5,95
480,335,-5,-5,95
485,340,-5,-5,95
490,345,-5,-5,95
495,350,-5,-5,95
500,355,-5,-5,95
505,360,-5,-5,95
510,365,-5,-5,95
515,370,-5,-5,95
520,375,-5,-5,95
525,380,-5,-5,95
530,385,-5,-5,95
535,390,-5,-5,95
540,395,-5,-5,95
545,400,-5,-5,95
550,405,-5,-5,95
555,410,-5,-5,95
560,415,-5,-5,95
565,420,-5,-5,95
570,425,-5,-5,95
575,430,-5,-5,95
580,435,-5,-5,95
585,440,-5,-5,95
590,445,-5,-5,95
595,450,-5,-5,95
600,455,-5,-5,95
605,460,-5,-5,95
610,465,-5,-5,95
615,460,-5,5,95
620,455,-5,5,95
625,450,-5,5,95
630,445,-5,5,95
635,440,-5,5,95
640,435,-5,5,95
645,430,-5,5,95
650,425,-5,5,95
655,420,-5,5,95
660,415,-5,5,95
665,410,-5,5,95
670,405,-5,5,95
675,400,-5,5,95
680,395,-5,5,95
685,390,-5,5,95
690,385,-5,5,95
695,380,-5,5,95
700,375,-5,5,95
705,370,-5,5,95
710,365,-5,5,95
715,360,-5,5,95
720,355,-5,5,95
725,350,-5,5,95
730,345,-5,5,95
735,340,-5,5,95
740,335,-5,5,95
745,330,-5,5,95
750,325,-5,5,95
755,320,-5,5,95
760,315,-5,5,95
765,310,-5,5,95
770,305,-5,5,95
775,300,-5,5,95
780,295,-5,5,95
785,290,-5,5,95
790,285,-5,5,95
795,280,-5,5,95
800,275,-5,5,95
805,270,-5,5,95
810,265,-5,5,95
815,260,-5,5,95
820,255,-5,5,95
825,250,-5,5,95
830,245,-5,5,95
835,240,-5,5,95
840,235,-5,5,95
845,230,-5,5,95
850,225,-5,5,95
855,220,-5,5,95
860,215,-5,5,95
865,210,-5,5,95
870,205,-5,5,95
875,200,-5,5,95
880,195,-5,5,95
885,190,-5,5,95
890,185,-5,5,95
895,180,-5,5,95
900,175,-5,5,95
905,170,-5,5,95
910,165,-5,5,95
915,160,-5,5,95
920,155,-5,5,95
925,150,-5,5,95
930,145,-5,5,95
935,140,-5,5,95
940,135,-5,5,95
945,130,-5,5,95
950,125,-5,5,95
955,120,-5,5,95
960,115,-5,5,95
965,110,-5,5,95
970,105,-5,5,95
975,100,-5,5,95
980,95,-5,5,95
985,90,-5,5,95
960,245,5,5,200
955,240,5,5,200
950,235,5,5,200
945,230,5,5,200
940,225,5,5,200
935,220,5,5,200
930,215,5,5,200
925,210,5,5,200
920,205,5,5,200
915,200,5,5,200
910,195,5,5,200
905,190,5,5,200
900,185,5,5,200
895,180,5,5,200
890,175,5,5,200
885,170,5,5,200
880,165,5,5,200
875,160,5,5,200
870,155,5,5,200
865,150,5,5,200
860,145,5,5,200
855,140,5,5,200
850,135,5,5,200
845,130,5,5,200
840,125,5,5,200
835,120,5,5,200
830,115,5,5,200
825,110,5,5,200
820,105,5,5,200
815,100,5,5,200
810,95,5,5,200
805,90,5,5,200
800,85,5,5,200
795,80,5,5,200
790,75,5,5,200
785,70,5,5,200
780,65,5,5,200
775,60,5,5,200
770,55,5,5,200
765,50,5,5,200
760,45,5,5,200
755,40,5,5,200
750,35,5,5,200
745,40,5,-5,200
740,45,5,-5,200
735,50,5,-5,200
730,55,5,-5,200
725,60,5,-5,200
720,65,5,-5,200
715,70,5,-5,200
710,75,5,-5,200
705,80,5,-5,200
700,85,5,-5,200
695,90,5,-5,200
690,95,5,-5,200
685,100,5,-5,200
680,105,5,-5,200
675,110,5,-5,200
670,115,5,-5,200
665,120,5,-5,200
660,125,5,-5,200
655,130,5,-5,200
650,135,5,-5,200
645,140,5,-5,200
640,145,5,-5,200
635,150,5,-5,200
630,155,5,-5,200
625,160,5,-5,200
620,165,5,-5,200
615,170,5,-5,200
610,175,5,-5,200
605,180,5,-5,200
600,185,5,-5,200
595,190,5,-5,200
590,195,5,-5,200
585,200,5,-5,200
580,205,5,-5,200
575,210,5,-5,200
570,215,5,-5,200
565,220,5,-5,200
560,225,5,-5,200
555,230,5,-5,200
550,235,5,-5,200
545,240,5,-5,200
540,245,5,-5,195
535,250,5,-5,190
530,255,5,-5,185
525,260,5,-5,180
520,265,5,-5,175
515,270,5,-5,170
510,275,5,-5,165
505,280,5,-5,160
500,285,5,-5,155
495,290,5,-5,155
490,295,5,-5,155
485,300,5,-5,155
480,305,5,-5,155
475,310,5,-5,155
470,315,5,-5,155
465,320,5,-5,155
460,325,5,-5,155
455,330,5,-5,155
450,335,5,-5,155
445,340,5,-5,155
440,345,5,-5,150
435,350,5,-5,145
430,355,5,-5,140
425,360,5,-5,135
420,365,5,-5,130
415,370,5,-5,125
410,375,5,-5,120
405,380,5,-5,115
400,385,5,-5,115
395,390,5,-5,115
390,395,5,-5,115
385,400,5,-5,115
380,405,5,-5,115
375,410,5,-5,115
370,415,5,-5,115
365,420,5,-5,115
360,425,5,-5,115
355,430,5,-5,115
350,435,5,-5,115
345,440,5,-5,115
340,445,5,-5,115
335,450,5,-5,115
330,455,5,-5,115
325,460,5,-5,115
320,465,5,-5,115
315,460,5,5,115
310,455,5,5,115
305,450,5,5,115
300,445,5,5,115
295,440,5,5,115
290,435,5,5,115
285,430,5,5,115
280,425,5,5,115
275,420,5,5,115
270,415,5,5,115
265,410,5,5,115
260,405,5,5,115
255,400,5,5,115
250,395,5,5,115
245,390,5,5,115
240,385,5,5,115
235,380,5,5,115
230,375,5,5,115
225,370,5,5,115
220,365,5,5,115
215,360,5,5,115
210,355,5,5,115
205,350,5,5,110
200,345,5,5,105
195,340,5,5,100
190,335,5,5,95
185,330,5,5,90
180,325,5,5,85
175,320,5,5,80
170,315,5,5,80
165,310,5,5,80
160,305,5,5,80
155,300,5,5,80
150,295,5,5,80
145,290,5,5,80
140,285,5,5,80
135,280,5,5,80
130,275,5,5,80
125,270,5,5,80
120,265,5,5,80
115,260,5,5,80
110,255,5,5,80
105,250,5,5,80
100,245,5,5,80
95,240,5,5,80
90,235,5,5,80
85,230,5,5,80
80,225,5,5,80
75,220,5,5,80
70,215,5,5,80
65,210,5,5,80
60,205,5,5,80
55,200,5,5,80
50,195,5,5,80
45,190,5,5,80
40,185,5,5,80
40,175,-5,5,80
45,170,-5,5,80
50,165,-5,5,80
55,160,-5,5,80
60,155,-5,5,80
65,150,-5,5,80
70,145,-5,5,80
75,140,-5,5,80
80,135,-5,5,80
85,130,-5,5,80
90,125,-5,5,80
95,120,-5,5,80
100,115,-5,5,80
105,110,-5,5,80
110,105,-5,5,80
115,100,-5,5,80
120,95,-5,5,80
125,90,-5,5,80
130,85,-5,5,80
135,80,-5,5,80
140,75,-5,5,80
145,70,-5,5,80
150,65,-5,5,80
155,60,-5,5,80
160,55,-5,5,80
165,50,-5,5,80
170,45,-5,5,80
175,40,-5,5,80
180,35,-5,5,80
185,40,-5,-5,80
190,45,-5,-5,80
195,50,-5,-5,80
200,55,-5,-5,80
205,60,-5,-5,80
210,65,-5,-5,80
215,70,-5,-5,80
220,75,-5,-5,80
225,80,-5,-5,80
230,85,-5,-5,80
235,90,-5,-5,80
240,95,-5,-5,80
245,100,-5,-5,80
250,105,-5,-5,80
255,110,-5,-5,80
260,115,-5,-5,80
265,120,-5,-5,80
270,125,-5,-5,80
275,130,-5,-5,80
280,135,-5,-5,80
285,140,-5,-5,80
290,145,-5,-5,80
295,150,-5,-5,80
300,155,-5,-5,80
305,160,-5,-5,80
310,165,-5,-5,80
315,170,-5,-5,80
320,175,-5,-5,80
325,180,-5,-5,80
330,185,-5,-5,80
335,190,-5,-5,80
340,195,-5,-5,80
345,200,-5,-5,80
350,205,-5,-5,80
355,210,-5,-5,80
360,215,-5,-5,80
365,220,-5,-5,80
370,225,-5,-5,80
375,230,-5,-5,80
380,235,-5,-5,80
385,240,-5,-5,80
390,245,-5,-5,80
395,250,-5,-5,80
400,255,-5,-5,80
405,260,-5,-5,80
410,265,-5,-5,80
415,270,-5,-5,80
420,275,-5,-5,80
425,280,-5,-5,80
430,285,-5,-5,80
435,290,-5,-5,80
440,295,-5,-5,80
445,300,-5,-5,80
450,305,-5,-5,80
455,310,-5,-5,80
460,315,-5,-5,80
465,320,-5,-5,80
470,325,-5,-5,80
475,330,-5,-5,80
480,335,-5,-5,80
485,340,-5,-5,80
490,345,-5,-5,80
495,350,-5,-5,80
500,355,-5,-5,80
505,360,-5,-5,80
510,365,-5,-5,80
515,370,-5,-5,80
520,375,-5,-5,80
525,380,-5,-5,80
530,385,-5,-5,80
535,390,-5,-5,80
540,395,-5,-5,80
545,400,-5,-5,80
550,405,-5,-5,80
555,410,-5,-5,80
560,415,-5,-5,80
565,420,-5,-5,80
570,425,-5,-5,80
575,430,-5,-5,80
580,435,-5,-5,80
585,440,-5,-5,80
590,445,-5,-5,80
595,450,-5,-5,80
600,455,-5,-5,80
605,460,-5,-5,80
610,465,-5,-5,80
615,460,-5,5,80
620,455,-5,5,80
625,450,-5,5,80
630,445,-5,5,80
635,440,-5,5,80
640,435,-5,5,80
645,430,-5,5,80
650,425,-5,5,80
655,420,-5,5,80
660,415,-5,5,80
665,410,-5,5,80
670,405,-5,5,80
675,400,-5,5,80
680,395,-5,5,80
685,390,-5,5,80
690,385,-5,5,80
695,380,-5,5,80
700,375,-5,5,80
705,370,-5,5,80
710,365,-5,5,80
715,360,-5,5,80
720,355,-5,5,80
725,350,-5,5,80
730,345,-5,5,80
735,340,-5,5,80
740,335,-5,5,80
745,330,-5,5,80
750,325,-5,5,80
755,320,-5,5,80
760,315,-5,5,80
765,310,-5,5,80
770,305,-5,5,80
775,300,-5,5,80
780,295,-5,5,80
785,290,-5,5,80
790,285,-5,5,80
795,280,-5,5,80
800,275,-5,5,80
805,270,-5,5,80
810,265,-5,5,80
815,260,-5,5,80
820,255,-5,5,80
825,250,-5,5,80
830,245,-5,5,80
835,240,-5,5,80
840,235,-5,5,80
845,230,-5,5,80
850,225,-5,5,80
855,220,-5,5,80
860,215,-5,5,80
865,210,-5,5,80
870,205,-5,5,80
875,200,-5,5,80
880,195,-5,5,80
885,190,-5,5,80
890,185,-5,5,80
895,180,-5,5,80
900,175,-5,5,80
905,170,-5,5,80
910,165,-5,5,80
915,160,-5,5,80
920,155,-5,5,80
925,150,-5,5,80
930,145,-5,5,80
935,140,-5,5,80
940,135,-5,5,80
945,130,-5,5,80
950,125,-5,5,80
955,120,-5,5,80
960,115,-5,5,80
960,105,5,5,80
955,100,5,5,80
950,95,5,5,80
945,90,5,5,80
940,85,5,5,80
935,80,5,5,80
930,75,5,5,80
925,70,5,5,80
920,65,5,5,80
915,60,5,5,80
910,55,5,5,80
905,50,5,5,80
900,45,5,5,80
895,40,5,5,80
890,35,5,5,80
885,40,5,-5,80
880,45,5,-5,80
875,50,5,-5,80
870,55,5,-5,80
865,60,5,-5,80
860,65,5,-5,80
855,70,5,-5,80
850,75,5,-5,80
845,80,5,-5,80
840,85,5,-5,80
835,90,5,-5,80
830,95,5,-5,80
825,100,5,-5,80
820,105,5,-5,80
815,110,5,-5,80
810,115,5,-5,80
805,120,5,-5,80
800,125,5,-5,80
795,130,5,-5,80
790,135,5,-5,80
785,140,5,-5,80
780,145,5,-5,80
775,150,5,-5,80
770,155,5,-5,80
765,160,5,-5,80
760,165,5,-5,80
755,170,5,-5,80
750,175,5,-5,80
745,180,5,-5,80
740,185,5,-5,80
735,190,5,-5,80
730,195,5,-5,80
725,200,5,-5,80
720,205,5,-5,80
715,210,5,-5,80
710,215,5,-5,80
705,220,5,-5,80
700,225,5,-5,80
695,230,5,-5,80
690,235,5,-5,80
685,240,5,-5,80
680,245,5,-5,80
675,250,5,-5,80
670,255,5,-5,80
665,260,5,-5,80
660,265,5,-5,80
655,270,5,-5,80
650,275,5,-5,80
645,280,5,-5,80
640,285,5,-5,80
635,290,5,-5,80
630,295,5,-5,80
625,300,5,-5,80
620,305,5,-5,80
615,310,5,-5,80
610,315,5,-5,80
605,320,5,-5,80
600,325,5,-5,80
595,330,5,-5,80
590,335,5,-5,80
585,340,5,-5,80
580,345,5,-5,80
575,350,5,-5,80
570,355,5,-5,80
565,360,5,-5,80
560,365,5,-5,80
555,370,5,-5,80
550,375,5,-5,80
545,380,5,-5,80
540,385,5,-5,80
535,390,5,-5,80
530,395,5,-5,80
525,400,5,-5,80
520,405,5,-5,80
515,410,5,-5,80
510,415,5,-5,80
505,420,5,-5,80
500,425,5,-5,80
495,430,5,-5,80
490,435,5,-5,80
485,440,5,-5,80
480,445,5,-5,80
475,450,5,-5,80
470,455,5,-5,80
465,460,5,-5,80
460,465,5,-5,80
455,460,5,5,80
450,455,5,5,80
445,450,5,5,80
440,445,5,5,80
435,440,5,5,80
430,435,5,5,80
425,430,5,5,80
420,425,5,5,80
415,420,5,5,80
410,415,5,5,80
405,410,5,5,80
400,405,5,5,80
395,400,5,5,80
390,395,5,5,80
385,390,5,5,80
380,385,5,5,80
375,380,5,5,80
370,375,5,5,75
365,370,5,5,70
360,365,5,5,65
355,360,5,5,60
350,355,5,5,55
345,350,5,5,50
340,345,5,5,45
335,340,5,5,40
330,335,5,5,40
325,330,5,5,40
320,325,5,5,40
315,320,5,5,40
310,315,5,5,40
305,310,5,5,40
300,305,5,5,40
295,300,5,5,40
290,295,5,5,40
285,290,5,5,40
280,285,5,5,40
275,280,5,5,40
270,275,5,5,40
265,270,5,5,40
260,265,5,5,40
255,260,5,5,40
250,255,5,5,40
245,250,5,5,40
240,245,5,5,40
235,240,5,5,40
230,235,5,5,40
225,230,5,5,40
220,225,5,5,40
215,220,5,5,40
210,215,5,5,40
205,210,5,5,40
200,205,5,5,40
195,200,5,5,40
190,195,5,5,40
185,190,5,5,40
180,185,5,5,40
175,180,5,5,40
170,175,5,5,40
165,170,5,5,40
160,165,5,5,40
155,160,5,5,40
150,155,5,5,40
145,150,5,5,40
140,145,5,5,40
135,140,5,5,40
130,135,5,5,40
125,130,5,5,40
120,125,5,5,40
115,120,5,5,40
110,115,5,5,40
105,110,5,5,40
100,105,5,5,35
95,100,5,5,30
90,95,5,5,25
85,90,5,5,20
80,85,5,5,20
75,80,5,5,20
70,75,5,5,20
65,70,5,5,20
60,65,5,5,20
55,60,5,5,20
50,55,5,5,20
45,50,5,5,20
40,45,5,5,20
40,35,-5,5,20
45,40,-5,-5,20
50,45,-5,-5,20
55,50,-5,-5,20
60,55,-5,-5,20
65,60,-5,-5,20
70,65,-5,-5,20
75,70,-5,-5,20
80,75,-5,-5,20
85,80,-5,-5,20
90,85,-5,-5,20
95,90,-5,-5,20
100,95,-5,-5,20
105,100,-5,-5,20
110,105,-5,-5,20
115,110,-5,-5,20
120,115,-5,-5,20
125,120,-5,-5,20
130,125,-5,-5,20
135,130,-5,-5,20
140,135,-5,-5,20
145,140,-5,-5,20
150,145,-5,-5,20
155,150,-5,-5,20
160,155,-5,-5,20
165,160,-5,-5,20
170,165,-5,-5,20
175,170,-5,-5,20
180,175,-5,-5,20
185,180,-5,-5,20
190,185,-5,-5,20
195,190,-5,-5,20
200,195,-5,-5,20
205,200,-5,-5,20
210,205,-5,-5,20
215,210,-5,-5,20
220,215,-5,-5,20
225,220,-5,-5,20
230,225,-5,-5,20
235,230,-5,-5,20
240,235,-5,-5,20
245,240,-5,-5,20
250,245,-5,-5,20
255,250,-5,-5,20
260,255,-5,-5,20
265,260,-5,-5,20
270,265,-5,-5,20
275,270,-5,-5,20
280,275,-5,-5,20
285,280,-5,-5,20
290,285,-5,-5,20
295,290,-5,-5,20
300,295,-5,-5,20
305,300,-5,-5,20
310,305,-5,-5,20
315,310,-5,-5,20
320,315,-5,-5,20
325,320,-5,-5,20
330,325,-5,-5,20
335,330,-5,-5,20
340,335,-5,-5,20
345,340,-5,-5,20
350,345,-5,-5,20
355,350,-5,-5,20
360,355,-5,-5,20
365,360,-5,-5,20
370,365,-5,-5,20
375,370,-5,-5,20
380,375,-5,-5,20
385,380,-5,-5,20
390,385,-5,-5,20
395,390,-5,-5,20
400,395,-5,-5,20
405,400,-5,-5,20
410,405,-5,-5,20
415,410,-5,-5,20
420,415,-5,-5,20
425,420,-5,-5,20
430,425,-5,-5,20
435,430,-5,-5,20
440,435,-5,-5,20
445,440,-5,-5,20
450,445,-5,-5,20
455,450,-5,-5,20
460,455,-5,-5,20
465,460,-5,-5,20
470,465,-5,-5,20
475,460,-5,5,20
480,455,-5,5,20
485,450,-5,5,20
490,445,-5,5,20
495,440,-5,5,20
500,435,-5,5,20
505,430,-5,5,20
510,425,-5,5,20
515,420,-5,5,20
520,415,-5,5,20
525,410,-5,5,20
530,405,-5,5,20
535,400,-5,5,20
540,395,-5,5,20
545,390,-5,5,20
550,385,-5,5,20
555,380,-5,5,20
560,375,-5,5,20
565,370,-5,5,20
570,365,-5,5,20
575,360,-5,5,20
580,355,-5,5,20
585,350,-5,5,20
590,345,-5,5,20
595,340,-5,5,20
600,335,-5,5,20
605,330,-5,5,20
610,325,-5,5,20
615,320,-5,5,20
620,315,-5,5,20
625,310,-5,5,20
630,305,-5,5,20
635,300,-5,5,20
640,295,-5,5,20
645,290,-5,5,20
650,285,-5,5,20
655,280,-5,5,20
660,275,-5,5,20
665,270,-5,5,20
670,265,-5,5,20
675,260,-5,5,20
680,255,-5,5,20
685,250,-5,5,20
690,245,-5,5,20
695,240,-5,5,20
700,235,-5,5,20
705,230,-5,5,20
710,225,-5,5,20
715,220,-5,5,20
720,215,-5,5,20
725,210,-5,5,20
730,205,-5,5,20
735,200,-5,5,20
740,195,-5,5,20
745,190,-5,5,20
750,185,-5,5,20
755,180,-5,5,20
760,175,-5,5,20
765,170,-5,5,20
770,165,-5,5,20
775,160,-5,5,20
780,155,-5,5,20
785,150,-5,5,20
790,145,-5,5,20
795,140,-5,5,20
800,135,-5,5,20
805,130,-5,5,20
810,125,-5,5,20
815,120,-5,5,20
820,115,-5,5,20
825,110,-5,5,20
830,105,-5,5,20
835,100,-5,5,20
840,95,-5,5,20
845,90,-5,5,20
